zip,ViolationStatus,ViolationStatus
11362.0,Open,121
11363.0,Open,95
11363.0,Close,50
11364.0,Open,694
11364.0,Close,514
11365.0,Close,1274
11365.0,Open,1173
11366.0,Open,329
11366.0,Close,201
11367.0,Open,2005
11367.0,Close,1234
11368.0,Open,9022
11368.0,Close,6956
11369.0,Open,2020
11369.0,Close,1332
11370.0,Open,1318
11370.0,Close,966
11372.0,Open,4836
11372.0,Close,4339
11373.0,Open,6400
11373.0,Close,5796
11374.0,Open,1599
11374.0,Close,1494
11375.0,Open,2135
11375.0,Close,2022
11377.0,Open,5168
11377.0,Close,4382
11378.0,Open,1755
11378.0,Close,1205
11379.0,Close,1588
11379.0,Open,1562
11384.0,Close,1
11385.0,Open,11073
11385.0,Close,9723
11411.0,Open,533
11411.0,Close,200
11412.0,Open,2162
11412.0,Close,749
11413.0,Open,1945
11413.0,Close,557
11414.0,Open,1171
11414.0,Close,864
11415.0,Open,1382
11415.0,Close,973
11416.0,Open,2357
11416.0,Close,1169
11417.0,Open,1640
11417.0,Close,823
11418.0,Open,2576
11418.0,Close,1618
11419.0,Open,2936
11419.0,Close,1080
11420.0,Open,2424
11420.0,Close,1002
11421.0,Open,2066
11421.0,Close,1112
11422.0,Open,1238
11422.0,Close,323
11423.0,Open,1607
11423.0,Close,993
11426.0,Open,239
11426.0,Close,98
11427.0,Open,667
11427.0,Close,405
11428.0,Open,543
11428.0,Close,290
11429.0,Open,1267
11429.0,Close,346
11430.0,Close,4
11430.0,Open,2
11432.0,Open,4607
11432.0,Close,3607
11433.0,Open,3651
11433.0,Close,2395
11434.0,Open,3668
11434.0,Close,1573
11435.0,Open,3669
11435.0,Close,2928
11436.0,Open,1183
11436.0,Close,359
11452.0,Close,23
11452.0,Open,12
11691.0,Open,7306
11691.0,Close,6836
11692.0,Open,2921
11692.0,Close,1939
11693.0,Open,696
11693.0,Close,299
11694.0,Open,1620
11694.0,Close,1079
11697.0,Open,3
12238.0,Open,2
111010.0,Open,3
111102.0,Open,5
112222.0,Close,2
112226.0,Open,13
112226.0,Close,3
11101401.0,Open,3
