Borough,zip,ViolationStatus,ViolationStatus
MANHATTAN,10017.0,Open,474
MANHATTAN,10017.0,Close,341
MANHATTAN,10018.0,Open,740
MANHATTAN,10018.0,Close,634
MANHATTAN,10019.0,Close,2802
MANHATTAN,10019.0,Open,2699
MANHATTAN,10021.0,Open,1728
MANHATTAN,10021.0,Close,1555
MANHATTAN,10022.0,Close,1452
MANHATTAN,10022.0,Open,1352
MANHATTAN,10023.0,Close,2100
MANHATTAN,10023.0,Open,1997
MANHATTAN,10024.0,Open,3774
MANHATTAN,10024.0,Close,3670
MANHATTAN,10025.0,Close,7213
MANHATTAN,10025.0,Open,5936
MANHATTAN,10026.0,Close,7413
MANHATTAN,10026.0,Open,6131
MANHATTAN,10027.0,Open,10047
MANHATTAN,10027.0,Close,10003
MANHATTAN,10028.0,Close,2152
MANHATTAN,10028.0,Open,2064
MANHATTAN,10029.0,Close,7404
MANHATTAN,10029.0,Open,7149
MANHATTAN,10030.0,Close,7490
MANHATTAN,10030.0,Open,7472
MANHATTAN,10031.0,Close,18536
MANHATTAN,10031.0,Open,13674
MANHATTAN,10032.0,Close,17032
MANHATTAN,10032.0,Open,11565
MANHATTAN,10033.0,Close,12395
MANHATTAN,10033.0,Open,7831
MANHATTAN,10034.0,Close,9349
MANHATTAN,10034.0,Open,5993
MANHATTAN,10035.0,Close,6646
MANHATTAN,10035.0,Open,6262
MANHATTAN,10036.0,Open,2648
MANHATTAN,10036.0,Close,2624
MANHATTAN,10037.0,Close,2262
MANHATTAN,10037.0,Open,2252
MANHATTAN,10038.0,Open,491
MANHATTAN,10038.0,Close,299
MANHATTAN,10039.0,Close,7032
MANHATTAN,10039.0,Open,5434
MANHATTAN,10040.0,Close,10062
MANHATTAN,10040.0,Open,5128
MANHATTAN,10044.0,Close,115
MANHATTAN,10044.0,Open,43
MANHATTAN,10065.0,Open,1424
MANHATTAN,10065.0,Close,1306
MANHATTAN,10069.0,Close,13
MANHATTAN,10069.0,Open,10
MANHATTAN,10075.0,Open,1164
MANHATTAN,10075.0,Close,1141
MANHATTAN,10128.0,Open,2442
MANHATTAN,10128.0,Close,2256
MANHATTAN,10280.0,Close,11
MANHATTAN,10280.0,Open,8
MANHATTAN,10282.0,Close,60
MANHATTAN,10282.0,Open,45
MANHATTAN,10463.0,Close,2324
MANHATTAN,10463.0,Open,609
QUEENS,1138.0,Close,1
